order_line_id,order_id,product_id,quantity,unit_price,discount_amount
OL00001,ORD0001,PROD0047,2,393.73,1.09
OL00002,ORD0001,PROD0031,2,213.8,5.28
OL00003,ORD0002,PROD0038,1,457.03,6.53
OL00004,ORD0002,PROD0071,1,301.77,3.95
OL00005,ORD0003,PROD0073,2,224.99,6.83
OL00006,ORD0003,PROD0091,2,152.69,1.61
OL00007,ORD0003,PROD0094,1,436.11,3.37
OL00008,ORD0003,PROD0098,3,369.3,9.57
OL00009,ORD0004,PROD0035,2,262.13,0.41
OL00010,ORD0004,PROD0056,1,255.57,6.5
OL00011,ORD0004,PROD0082,3,319.48,0.12
OL00012,ORD0004,PROD0073,2,224.99,1.79
OL00013,ORD0005,PROD0081,2,149.56,1.63
OL00014,ORD0005,PROD0037,2,481.7,6.8
OL00015,ORD0005,PROD0003,1,372.68,1.63
OL00016,ORD0005,PROD0029,2,93.05,6.14
OL00017,ORD0005,PROD0098,2,369.3,8.15
OL00018,ORD0006,PROD0051,2,239.56,8.35
OL00019,ORD0006,PROD0022,1,27.33,7.58
OL00020,ORD0006,PROD0066,1,313.29,6.45
OL00021,ORD0006,PROD0098,2,369.3,8.99
OL00022,ORD0007,PROD0007,3,465.14,5.45
OL00023,ORD0007,PROD0029,1,93.05,5.42
OL00024,ORD0008,PROD0075,1,163.81,5.07
OL00025,ORD0008,PROD0011,2,316.01,1.67
OL00026,ORD0008,PROD0089,3,336.96,0.21
OL00027,ORD0008,PROD0022,3,27.33,5.17
OL00028,ORD0009,PROD0060,1,297.18,1.79
OL00029,ORD0009,PROD0014,1,259.72,9.59
OL00030,ORD0010,PROD0031,3,213.8,5.12
OL00031,ORD0010,PROD0057,2,295.59,2.01
OL00032,ORD0010,PROD0070,2,318.94,8.87
OL00033,ORD0010,PROD0038,2,457.03,1.02
OL00034,ORD0010,PROD0071,3,301.77,1.39
OL00035,ORD0011,PROD0079,2,311.08,2.53
OL00036,ORD0012,PROD0050,1,342.25,1.59
OL00037,ORD0013,PROD0070,3,318.94,5.78
OL00038,ORD0014,PROD0077,1,443.75,6.39
OL00039,ORD0014,PROD0085,3,34.23,3.44
OL00040,ORD0014,PROD0031,3,213.8,2.37
OL00041,ORD0014,PROD0038,3,457.03,2.25
OL00042,ORD0015,PROD0065,2,389.11,5.75
OL00043,ORD0016,PROD0020,3,457.06,2.11
OL00044,ORD0017,PROD0049,2,313.11,6.37
OL00045,ORD0017,PROD0048,3,436.59,6.62
OL00046,ORD0017,PROD0074,3,355.62,5.48
OL00047,ORD0017,PROD0076,1,269.77,4.95
OL00048,ORD0017,PROD0086,1,94.31,7.14
OL00049,ORD0018,PROD0092,2,390.55,6.53
